迎宾路	[558, 1, 1, 0, 0, 538, 1, 0, 0, 0, 680, 0, 0, 0, 0, 566, 0, 0, 0, 0, 576, 0, 0, 0, 0, 572, 0, 0, 0, 0, 575, 0, 0, 0, 0]	4068
虎滩路	[143, 0, 0, 0, 0, 135, 0, 0, 0, 0, 170, 0, 0, 0, 0, 144, 0, 0, 0, 0, 141, 1, 2, 0, 0, 143, 0, 0, 0, 0, 144, 0, 0, 0, 0]	1023
滨海东路	[143, 0, 0, 0, 0, 134, 1, 0, 0, 0, 167, 3, 0, 0, 0, 144, 0, 0, 0, 0, 142, 2, 0, 0, 0, 142, 1, 0, 0, 0, 144, 0, 0, 0, 0]	1023
文林街	[77, 1, 65, 0, 0, 67, 0, 66, 2, 0, 85, 0, 85, 0, 0, 75, 3, 66, 0, 0, 74, 0, 70, 0, 0, 78, 0, 65, 0, 0, 80, 1, 63, 0, 0]	1023
南山路	[401, 14, 4, 0, 0, 387, 14, 4, 0, 0, 506, 4, 0, 0, 0, 418, 6, 0, 0, 0, 415, 13, 4, 0, 0, 428, 1, 0, 0, 0, 431, 0, 0, 0, 0]	3050
朝阳街	[135, 3, 4, 1, 0, 128, 4, 3, 0, 0, 163, 7, 0, 0, 0, 138, 5, 1, 0, 0, 131, 9, 4, 0, 0, 141, 2, 0, 0, 0, 142, 2, 0, 0, 0]	1023
七七街	[129, 2, 11, 1, 0, 127, 6, 0, 2, 0, 164, 1, 3, 2, 0, 140, 1, 3, 0, 0, 135, 1, 7, 1, 0, 141, 0, 2, 0, 0, 143, 1, 0, 0, 0]	1023
长江东路	[143, 0, 0, 0, 0, 134, 1, 0, 0, 0, 170, 0, 0, 0, 0, 144, 0, 0, 0, 0, 143, 1, 0, 0, 0, 143, 0, 0, 0, 0, 144, 0, 0, 0, 0]	1023
新开路	[202, 62, 19, 0, 0, 213, 46, 10, 1, 0, 264, 46, 28, 2, 0, 217, 55, 11, 1, 0, 225, 47, 15, 1, 0, 254, 30, 2, 0, 0, 264, 20, 4, 0, 0]	2039
北京街	[110, 21, 12, 0, 0, 110, 16, 9, 0, 0, 144, 22, 4, 0, 0, 123, 15, 6, 0, 0, 111, 24, 9, 0, 0, 125, 18, 0, 0, 0, 138, 6, 0, 0, 0]	1023
联合路	[156, 94, 31, 0, 0, 157, 96, 16, 1, 0, 216, 106, 18, 0, 0, 161, 103, 20, 0, 0, 160, 101, 27, 0, 0, 214, 66, 6, 0, 0, 240, 47, 0, 0, 0]	2036
胜利路	[305, 96, 23, 0, 0, 319, 69, 17, 0, 0, 397, 95, 18, 0, 0, 345, 71, 11, 0, 0, 337, 74, 21, 0, 0, 396, 31, 2, 0, 0, 410, 19, 2, 0, 0]	3058
